Judul Lagu,Penyanyi,Genre,Lirik Lagu,Tahun Rilis,Label Emosi
kini mereka tahu,bernadya,Pop,"Dari dulu kulebih-lebihkan semua
Padahal yang kaulakukan tak seberapa
Agar seisi dunia tahu
Dan anggapku paling beruntung
Milikimu
Kukarang cerita yang semula tak ada
Caraku sampaikan seolah semua nyata
Agar semuanya setuju
Dan yakin pada pilihanku
Memilihmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Mereka tak tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Hu-uh-uh-uh, hu-uh
Kudengar kamu sibuk ke sana-kemari
Bersihkan namamu di mata orang lain
Kau cerita dari sisimu
Kaubilang tak semua salahmu
Berharap ada yang memihakmu
Sifat baikmu yang orang tahu
Itu karanganku
Sifat aslimu yang hancurkanku
Kini m'reka tahu
Dan bahkan setelah semua
Yang kaulakukan padaku
Ku tetap bela kamu
Di depan teman-temanku
Dan mungkin saja bisa jadi
Bila kamu datang lagi
Ku 'kan terimamu kembali
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Kalau suatu saat ku cerita burukmu
Takkan kutambahkan bumbu apa pun
Tak sama seperti saat kuceritakan baikmu
Yang sebagian besar tak benar begitu
Hu-uh",2024,marah
tak dianggap,lyodra,Pop Ballad,"Aku selalu terus berusaha
Sabar yang aku bisa
Menjadi pengertian
Sakit pun selalu ku simpan
Jadi yang terbaik untukmu
Apa itu tak cukup?

Senyum yang kuberi selama ini
Palsu itu bukan aku
Kututupi semuanya
Agar kita baik-baik saja
Tapi kini sudah tak mampu
Dengan caramu itu

Sikapmu seakan-akan menyuruh diriku pergi
Tapi perkataanmu seolah aku penting bagimu
Sebenarnya aku siapa?
Tak dianggap tapi ada
Bersamamu, ku terluka
Melepaskanmu, aku lebih terluka

Lelah bertahan denganmu
Namun terlalu sayang untuk melepasmu
Biar, biar ku jalani sampai melepasmu
Tiada lagi sedih bagiku

Sikapmu seakan-akan menyuruh diriku pergi
Tapi perkataanmu seolah aku penting bagimu

Sikapmu seakan-akan menyuruh diriku pergi
Tapi perkataanmu seolah aku penting bagimu
Sebenarnya aku siapa? Tak dianggap tapi ada
Bersamamu, ku terluka
Melepaskanmu, aku lebih terluka",2023,sedih
sang dewi,"lyodra, andi rianto",Pop,"Walaupun jiwaku pernah terluka
Hingga nyaris bunuh diri
Wanita mana yang sanggup hidup sendiri
Didunia ini

Walaupun t'lah kututup mata hari
Begitupun telingaku
Namun bila dikala cinta memanggilmu
Dengarkanlah ini

Walaupun dirimu tak bersayap
Ku akan percaya
Kau mampu terbang bawa diriku
Tanpa takut dan ragu

Walaupun mulutku pernah bersumpah
Sudilagi jatuh cinta
Wanita seperti dirikupun ternyata
Mudah menyerah

Walaupun kau bukan titisan dewa
Ku takan kecewa
Karena kau jadikanku sang dewi
Dalam taman surgawi

Walaupun dirimu tak bersayap
Ku akan percaya
Kau mampu terbang bawa diriku
Tanpa takut dan ragu

Walaupun kau bukan titisan dewa
Ku takan kecewa
Karena kau jadikanku sang dewi
Dalam taman surgawi",2022,senang
jodoh pasti bertemu,afgan,Pop,"Andai engkau tahu
Betapa ku mencinta
Selalu menjadikanmu
Isi dalam doaku
Ku tahu, tak mudah
Menjadi yang kau minta
Kupasrahkan hatiku
Takdir 'kan menjawabnya
Jika aku bukan jalanmu
Ku berhenti mengharapkanmu
Jika aku memang tercipta untukmu
Ku 'kan memilikimu
Jodoh pasti bertemu
Andai engkau tahu
Betapa ku mencinta
Kupasrahkan hatiku
Takdir 'kan menjawabnya
Jika aku bukan jalanmu
Ku berhenti mengharapkanmu
Jika aku memang tercipta untukmu
Ku 'kan memilikimu
Jodoh pasti bertemu
Ho-oh-oh
Jika aku (jika aku) bukan jalanmu
Ku berhenti mengharapkanmu
Jika aku memang tercipta untukmu
Ku 'kan memilikimu
Oh-uh-uh
Ku berhenti mengharapkanmu
Jika aku memang tercipta untukmu
Ku 'kan memilikimu
Jodoh pasti bertemu",2013,tenang
mati-matian,mahalini,Pop Ballad,"Kita adalah dua insan penuh cinta
Di awal tercipta kisah kita
Manis tuturmu buatku terpana
Bagiku kau sempurna
Memang benar semua kata mereka
Benarku tlah dibutakan cinta
Tak hanya sekali kau khianati
Sudah cukup ku tak tahan lagi
Mati-matian ku membelamu di depan mereka
Walau sakit tetap ku percaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan ini cinta atau bodoh
Habis fikir dengan sifatmu itu
Berulangkali ku maafkan
Berulang lagi kau lakukan ah
Satu satunya kebanggaanku
Kini jadi rasa sakit terdalam
Mati-matian ku membelamu di depan mereka
Mati-matian ku membelamu di depan mereka
Walau sakit tetap ku percaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan ini cinta atau bodoh
Bo uh oh
Walau sakit tetap ku percaya kau beda dari lainnya
Habis-habisan ku dibohongi sayang ini tetap sama
Tuhan ini cinta atau bodoh
Ho Tuhan ini cinta atau bodoh",2024,marah
bohongi hati,mahalini,Pop,"Aku tersiksa
Melihat semuanya berubah
Mengapa?
Kau tak mau tahu
Bagaimana hati ini tanpamu?
Cintamu

Oh dimana, aku bisa temui dirimu?
Yang dulu cinta
Dan anggap aku ada

Jika kau minta aku menjauh
Hilang dari seluruh memori indahmu (memori indahmu)
'Kan kulakukan semua, walau tak mungkin sanggup
Bohongi hatiku

Oh dimana, aku bisa temui dirimu?
Yang dulu cinta, (cinta, cinta)
Dan anggap aku ada (yang dulu cinta dan anggap aku ada)

Oh, jika kau meminta aku menjauh
Hilang dari seluruh memori indahmu
'Kan kulakukan semua, walau tak mungkin sanggup
Bohongi hatiku

Saat ku rindu, ku coba tak rindu
Demi bahagiamu yang tak membutuhkanku
Entah sampai dimana, sanggup ku 'kan bertahan
‘Tuk bisa tanpamu

Ya tak mungkin, kau menemukan yang sama lagi
Tulus hati s’perti yang aku miliki (tulus hati s'perti yang ku miliki)

Oh, jika kau minta aku menjauh
Hilang dari seluruh memori indahmu
'Kan kulakukan semua, walau tak mungkin sanggup
Bohongi hatiku (bohongi hatiku)

Saat ku rindu, ku coba tak rindu
Demi bahagiamu yang tak lagi butuhkanku
Entah sampai dimana, aku sanggup bertahan
‘Tuk bisa tanpamu
Oh...,ha...,oh...
Bohongi hatiku",2023,sedih
bawa dia kembali,mahalini,Pop,"Malam ini aku menanti
Kedatanganmu mengisi sepiku
Lama terasa waktu bergulir
Karena dirimu tak bersamaku

Oh Tuhan tolonglah bawa dia kembali
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat

Masih terasa hembus napasmu
Saat ku gundah kau lipur laraku
Kini terasa semakin dalam
Rasa rinduku pada dirimu

Oh Tuhan tolonglah bawa dia kembali
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat

Oh Tuhan tolonglah bawa dia kembali
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat

Oh Tuhan tolonglah bawa dia kembali (bawa dia kembali)
Bersamaku di sini menjagaku selalu
Dengarlah doaku yang tak pernah meminta
Bawa dia kembali bersama walau hanya sesaat

Walau hanya sesaat
Walau hanya sesaat",2023,sedih
muak,aruma,Pop,"Temanku bilang aku
Akan baik-baik saja
Nyatanya sulit aku
Sembuh dari yang lalu
Awal menggebu-gebu
Ujungnya semua rancu
Tahukah sakit yang tak terobati
Belum sempat sembuh
Tertikam lagi
Muak aku muak
Katanya cinta sedalam samudra
Bohong nyata kita berakhir juga
Muak aku muak
Lautan disebrangi
Alang-alang berduri dilewati
Kiasan penuh makna
Tentang cinta sudah tak mempan lagi
Awal menggebu-gebu
Ujungnya semua rancu
Tahukah sakit yang tak terobati
Belum sempat sembuh tertikam lagi
Muak aku muak
Katanya cinta sedalam samudra
Bohong nyata kita berakhir juga
Muak aku muak
Hu
Tahukah sakit yang tak terobati
Belum sempat sembuh tertikam lagi
Muak aku muak
Katanya cinta sedalam samudra
Bohong nyata kita berakhir juga
Muak aku muak
Bila ujungnya berakhir juga
Aku muak aku muak",2022,marah
laksana surgaku,"dudy oris, khrisna balagita",Pop,"Hari ini kau pergi
Meninggalkan diriku
Semua begitu saja
Terjadi dan takkan kembali
Sungguh ku tak berdaya
Jika harus tanpamu
Menghabiskan waktuku
Jelajahi dunia
Dirimu laksana surgaku
Tempat ku mencurahkan
Segala rasa cinta suci
Yang tulus di dalam batinku
Tiada yang mampu gantikan
Titahmu di hatiku
Menyejukkan seluruh jiwa
Melebur ke dasar sukmaku
Haruskah kuberpasrah
Hadapi semua ini
Mencoba memulainya
Kembali dengan harap pasti
Namun kadang raguku
Mengusik damai hati
Membawa kebimbangan
Dengan arah tak pasti
Dirimu laksana surgaku
Tempat ku mencurahkan
Segala rasa cinta suci
Yang tulus di dalam batinku
Tiada yang mampu gantikan
Titahmu di hatiku
Menyejukkan seluruh jiwa
Melebur ke dasar sukmaku
Adakah di benakmu
Seberkas celah rasa
Meskipun semu semata
Ringankan kesedihan
Dirimu laksana surgaku
Tempat ku mencurahkan
Segala rasa cinta suci
Yang tulus di dalam batinku
Tiada yang mampu gantikan
Titahmu di hatiku
Menyejukkan seluruh jiwa
Melebur ke dasar sukmaku
Dirimu laksana surgaku
Tempat ku mencurahkan
Menyejukkan seluruh jiwa
Melebur ke dasar sukmaku",2013,tenang
bukti,virgoun,Pop Ballad,"memenangkan hatiku
bukanlah satu hal yang mudah
kau berhasil membuat
ku tak bisa hidup tanpamu

menjaga cinta itu
bukanlah suatu hal yang mudah
namun tak sedetik pun
tak pernah kau berpaling dariku
beruntungnya aku dimiliki kamu

kamu adalah bukti
dari cantiknya paras dan hati
kau jadi harmoni saat ku bernyanyi
tentang terang dan gelapnya hidup ini

kaulah bentuk terindah
dari baiknya Tuhan padaku
waktu tak mengusaikan cantikmu
kau wanita terhebat bagiku
tolong kamu camkan itu

meruntuhkan egoku bukan satu hal yang mudah
dengan kasih lembut kau pecahkan kerasnya hatiku
beruntungnya aku dimiliki kamu (ku ingin engkau tahu)

kamu adalah bukti dari cantiknya paras dan hati
kau jadi harmoni saat ku bernyanyi tentang terang dan gelapnya hidup ini
kaulah bentuk terindah (kaulah bentuk terindah) dari baiknya Tuhan padaku
waktu tak mengusaikan cantikmu (mengusaikan cantikmu)
kau wanita terhebat bagiku, tolong kamu camkan itu

(semua yang jadi bukti tersimpan di dalam palung hati
semua yang jadi bukti tersimpan di dalam palung hati)

kamu adalah bukti dari cantiknya paras dan hati
kau jadi harmoni saat ku bernyanyi tentang terang dan gelapnya hidup ini
kaulah bentuk terindah (kaulah bentuk terindah) dari baiknya Tuhan padaku
waktu tak mengusaikan cantikmu (mengusaikan cantikmu)
kau wanita terhebat bagiku, tolong kamu camkan itu, tolong kamu camkan itu",2017,senang
amin paling serius,"sal priadi, nadin amizah",Folk/Pop,"Aku tahu, kamu lahir dari
Cantik utuh cahaya rembulan
Sedang aku dari badai marah riuh yang berisik
Juga banyak hal-hal yang sedih
Tapi menurut aku, kamu cemerlang
Mampu melahirkan bintang-bintang
Menurutku, ini juga kar'na hebatnya badaimu
Juga kar'na lembutnya tuturmu
'Tuk petualangan ini
Mari kita ketuk pintu yang sama
Membawa amin paling serius
Seluruh dunia
Bayangkan betapa cantik dan lucunya
Gemuruh petir ini
Disanding rintik-rintik yang gemas
Dan merayakan
Amin paling serius seluruh dunia
Aku tahu, kamu tumbuh dari
Keras kasar sebuah kerutan
Sedang aku dari pilu, aman yang ternyata palsu
Juga semua yang terlalu baik
Tapi menurut aku, kamu cemerlang
Mampu melahirkan bintang-bintang
Menurutku, ini juga kar'na lembutnya sikapmu
Juga sabarmu yang nomor satu
'Tuk petualangan ini
Mari kita ketuk pintu yang sama
Membawa amin paling serius
Seluruh dunia
Bayangkan betapa cantik dan lucunya
Gemuruh petir ini
Disanding rintik-rintik yang gemas
Dan merayakan
Amin paling serius seluruh dunia
Amin paling serius seluruh dunia",2019,tenang
lampu merah,the lantis,Pop Rock,"Terlambatlah ke sana
Kar'na aku terlena
Ekspektasi mereka
Aku buat kecewa
Tertinggallah sudah aku
Oleh rekan-rekan ku
Tersusullah sudah aku
Dengan yang mulai setelah aku
Tapi ku berada di lampu merah
Kuharap kau sabar untuk menunggu aku di sana
Walau ku berada di lampu merah
Ku yakin semua ini hanyalah hambatan sementara
Lalu tiba dirimu
Paham situasiku
Oh, perjalanan ini
Memang berlika-liku
Tersusullah sudah aku
Dengan yang mulai setelah aku
Tapi ku berada di lampu merah
Kuharap kau sabar untuk menunggu aku di sana
Walau ku berada di lampu merah
Ku yakin semua ini hanyalah hambatan sementara
Tapi ku berada di lampu merah
Kuharap kau sabar untuk menunggu aku di sana
Walau ku berada di lampu merah
Ku yakin semua ini hanyalah hambatan sementara, wo",2021,tenang
dunia tipu-tipu,yura yunita,Pop/Jazz,"Di dunia tipu-tipu
Kamu tempat aku bertumpu
Baik, jahat, abu-abu
Tapi warnamu putih untukku
Hanya kamu yang mengerti
Gelombang kepala ini
Puja-puji tanpa kata
Mata kita yang bicara
Selalu nyaman bersama
Janji takkan ke mana-mana
Puja-puji tanpa kata
Mata kita yang bicara
Selalu nyaman bersama
Janji takkan ke mana-mana, ya
Di dunia tipu tipu
Ku bisa rasa nyata denganmu, oh-hm-mm
Tanpa banyak una-inu
Ku bisa rasa aman selalu
Hanya kamu yang mengerti
Gelombang kepala ini, ih-ih-ih
Puja-puji tanpa kata
Mata kita yang bicara
Selalu nyaman bersama
Janji takkan ke mana mana
Puja-puji tanpa kata
Mata kita yang bicara
Selalu nyaman bersama
Janji takkan ke mana-mana, ya
Lelucon aneh tiap hari
Ku tertawa tanpa tapi
Tetaplah seperti ini
Puja-puji tanpa kata
Mata kita yang bicara
Selalu nyaman bersama
Janji takkan ke mana-mana
Janji (janji) takkan (takkan) ke mana-mana
Janji (janji) takkan (takkan) ke mana-mana
Janji (janji), janji (takkan) takkan ke mana-mana
Janji (janji), janji (takkan) takkan ke mana-mana",2022,senang
angin rindu,rony parulian,Pop,"Sampai kapankah rindu ini akan bertahan?
Rasa gelisah menghantui perasaanku
Diam-diam mencari-cari hadirmu di sampingku
Andai saja angin membawa rinduku padamu
Andai saja waktu membawa cepat ku padamu
Rasa gelisah menghantui perasaanku (terus menghantui)
Diam-diam mencari-cari hadirmu di sampingku, oh
Andai saja angin membawa rinduku padamu
Andai saja waktu membawa cepat ku padamu
Sanggupkah diriku pergi dari lamunan bayangan semu?
Sanggupkah diriku pergi dari lamunan bayangan semu?
Bayangan kamu
Oh, ho-oh, oh-oh-oh
Ho-oh-oh-oh-oh
Angin membawa rinduku padamu
Andai saja waktu membawa cepat ku padamu, uh-oh
Sanggupkah diriku pergi dari bayanganmu
Yang menghantui perasaanku?
Andai saja angin membawa rinduku padamu, oh-uh
Sampai kapankah rindu ini akan bertahan?",2024,sedih
berharap kau Kembali,Fabio asher,Pop Ballad,"Entah apa
Yang sebenarnya kau rasakan
Belum lama kita berpisah
Dan kau telah temukan pengganti diriku
Padahal kita
Begitu lama menjalin kisah
Bahkan sampai kini ku tak bisa melupakanmu
Di hatiku kau masih terindah
Bagaimana dengan diriku
Bila nanti kau bersama dia
Kau buat hatiku semakin hancur
Tuk hatiku yang sulit melupakanmu
Bagaimana dengan diriku
Jika benar kau lebih bahagia
Sedangkan aku di sini selalu
Berharap kau tuk kembali
Oh
Menunggu tapi sungguh aku tak bisa
Menahan rasa sakit yang ku rasa hu oh
Bagaimana dengan diriku
Bila nanti kau bersama dia
Kau buat hatiku semakin hancur
Tuk hatiku yang sulit melupakanmu
Bagaimana dengan diriku
Jika benar kau lebih bahagia
Sedangkan aku di sini selalu
Berharap kau tuk kembali
Sedangkan aku di sini selalu
Berharap kau tuk kembali",2024,sedih
ku dengannya kau dengan dia,afgan,Pop,"Awalnya ku tak bermaksud apapun
Saat ku kenal dirimu
Kita hanya saling bercerita tentang
Ku dengannya kau dengan dia

Mengapa Tuhan pertemukan
Kita yang tak mungkin menyatu
Aku yang tlah terikat janji
Engkau pun begitu

Ku coba lawan aturan yang ada
Tuk terus bersamamu
Semakin ku tenggelam dalam keadaan
Semakin ku menginginkanmu lebih

Mengapa Tuhan pertemukan
Kita yang tak mungkin menyatu
Aku yang tlah terikat janji
Engkau pun begitu

Mengapa Tuhan pertemukan
Kita yang tak mungkin menyatu
Aku yang tlah terikat janji
Engkau pun begitu

Ku tahu kau bukan untukku
Mustahil ku hidup denganmu
Satu hal yang harus kau tau
Ku mencintaimu
Ku mencintaimu",2016,marah
janji setia,tiara andini,Pop,"Kini aku mengerti, semua ini terjadi
Tak dipungkiri, hanya kamu yang kumiliki
Bumi di kala sunyi, kamu takkan sendiri
Aku di sini menantimu kembali
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku, oh-oh
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus (janganlah kauhapus)
Janji setia menjaga hati
Hujan turun mewakili hati
Terpa angin gambarkan resahku, ho-oh
Namun, kini pelangi (dan kini pelangi)
Datang menyinari kita
ho-oh
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Merindukan hadirmu ada di sini?
Percayalah, oh, Kasihku
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Ho-oh-oh-ho",2022,senang
tak sanggup lagi,rossa,Pop Ballad,"Setelah sekian lama
Baru ku menyadari
Mengapa ku selalu
Menahan rasa sakitku
Ingin kuhapus saja
Semua dendam ini
Tapi rasa tak mungkin lagi
Biarkan kupergi
Karena aku tak sanggup lagi
Mengingat semua kenangan dulu
Di saat engkau menyakitiku
Mengapa semua terjadi
Di saat kau mulai menyadari
Semua kesalahanmu padaku
Tapi ku tak sanggup lagi
Kuakui sekarang
Engkau mulai berubah
Namun rasa sakitku
Terlalu dalam tuk terobati
Ingin kuhapus saja semua
Semua dendam ini
Tapi rasa tak mungkin lagi
Biarkan kupergi
Karena aku tak sanggup lagi
Mengingat semua kenangan dulu
Di saat engkau menyakitiku
Mengapa semua terjadi
Di saat kau mulai menyadari
Semua kesalahanmu padaku
Tapi ku tak sanggup lagi
Biarkan diriku yang pergi
Karena ku tak sanggup lagi
Mengapa semua terjadi
Di saat kau mulai menyadari
Semua kesalahanmu padaku
Tapi ku tak sanggup
Tapi ku tak sanggup lagi",2013,sedih
bertahan terluka,fabio asher,Pop Ballad,"Entahkah prasangka atau memang benar firasatku bahwa dirimu t’lah berubah senyummu berbeda

Dan benar saja ada hati lain yang kau jaga
Seakan-akan ku tak bisa membaca
Kau buat seperti tak ada yang terluka

Lakukanlah semaumu
Sampai kau lelah menyakitiku
Sebisaku tak kan mengusikmu
Ku akan mencoba mengerti dirimu

Dan benar saja ada hati lain yang kau jaga
Seakan-akan ku tak bisa membaca
Kau buat seperti tak ada yang terluka

Lakukanlah semaumu
Sampai kau lelah menyakitiku
Sebisaku tak kan mengusikmu
Ku akan mencoba mengerti dirimu

Andaikan kau tahu rasa sayangku melebihi rasa sakitku ini
Mungkin kau tak kan pernah menyangka
Mengapa ku tetap disini

Lakukanlah semaumu
Sampai kau lelah menyakitiku
Sebisaku tak kan mengusikmu
Ku akan mencoba mengerti dirimu",2023,sedih
lama-lama,bernadya,Pop,"Berusaha tetap terjaga
Tunggu kamu selesaikan semua kesibukan
Dering yang paling kunantikan
Akhirnya datang hanya menyapa sebentar
Pamit tidur duluan
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Lama-lama lelah juga aku
Seperti hanya aku yang butuhkan kamu
Lama-lama habis tenagaku
Bila bukan lagi aku tempat pulang yang kautuju
Jangan ulur waktu
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Kumaklumi s'lalu
Kumengerti kamu
Punya sibuk lain
Tak harus aku, tak s'lalu aku
Lama-lama lelah juga aku
Seperti hanya aku yang butuhkan kamu
Lama-lama (lama-lama) habis tenagaku
Bila bukan lagi aku tempat pulang yang kautuju
Jangan ulur waktu
Berusaha tetap kujaga
Sampai habis, tak tersisa tenaga yang kupunya
Kini tak lagi kunantikan
Lakukan semua senyamanmu saja
Ku menyerah",2024,sedih
rapsodi,jkt48,Pop,"Ku lihat ada yang bersinar di kedua bola matamu
Kau buat malam gelap ini jadi penuh cahaya
Terang kilau pesona

Kasih andai anganku bersuara, dia kan bernyanyi
Rapsodi indah yang kan bermuara di fajar hati
Kelingking kita berjanji, jari manis jadi saksi
Bahagia hingga sang bumi enggan berputar lagi

Kau buat aku sempurna, saat kau berkata iya
Kau izinkan ku berlaga mengarungi dunia
Di sisimu selamanya

Kasih andai anganku bersuara, dia kan bernyanyi
Rapsodi indah yang kan bermuara di fajar hati
Kelingking kita berjanji, jari manis jadi saksi
Bahagia hingga sang bumi enggan berputar lagi

Saling bersandar
Hingga bumi tak berputar
Cinta kita takkan pudar
Selamanya

Kasih andai anganku bersuara di fajar hati
Kelingking kita berjanji, jari manis jadi saksi
Bahagia tuk selamanya

Kasih andai anganku bersuara, dia kan bernyanyi
Rapsodi indah yang kan bermuara di fajar hati
Kelingking kita berjanji, jari manis jadi saksi
Bahagia hingga sang bumi

Kasih andai anganku bersuara, dia kan bernyanyi
Rapsodi indah yang kan bermuara di fajar hati
Kelingking kita berjanji, jari manis jadi saksi
Bahagia hingga sang bumi enggan berputar lagi",2020,senang
